,StimOnset,Q1Onset,Seen,Resp1Onset,Q2Onset,Emotion,Resp2Onset,ConfQOnset,ConfROnset,ConfRT,ConfRating,Bias,Condition,StimPresent,Duration,Sname,StimID
84,,,,,,,,,,,,,,,0.2,,
85,,,,,,,,,,,,,,,0.2,,
86,,,,,,,,,,,,,,,0.016,,
87,,,,,,,,,,,,,,,0.016,,
88,,,,,,,,,,,,,,,0.2,,
89,,,,,,,,,,,,,,,0.2,,
90,,,,,,,,,,,,,,,0.016,,
91,,,,,,,,,,,,,,,0.016,,
92,,,,,,,,,,,,,,,0.016,,
93,,,,,,,,,,,,,,,0.2,,
94,,,,,,,,,,,,,,,0.2,,
95,,,,,,,,,,,,,,,0.016,,
96,,,,,,,,,,,,,,,0.2,,
97,,,,,,,,,,,,,,,0.2,,
98,,,,,,,,,,,,,,,0.2,,
99,,,,,,,,,,,,,,,0.2,,
100,,,,,,,,,,,,,,,0.016,,
101,,,,,,,,,,,,,,,0.016,,
