,StimOnset,Q1Onset,Seen,Resp1Onset,Q2Onset,Percept,Resp2Onset,ConfQOnset,ConfROnset,ConfRT,ConfRating,Bias,Condition,StimPresent,PerceptC,CorrectSeen,CorrectPercept
31,1193.0765126719998,1199.6749273799996,1,1201.3725394770008,1203.3898107700006,1,1210.2502087760004,,,,,0.0,1.0,1.0,Down,-1,
32,1219.5047855470002,1225.8744177919998,1,1228.9426289020012,1230.9598495440005,1,1232.5930111859998,,,,,,0.0,0.0,Down,0,0.0
33,1241.8864606930001,1248.1312484440004,1,1256.967566049001,1258.9928625760003,1,1278.8734411490004,,,,,-0.7,0.0,1.0,Down,-1,1.0
34,1288.184973880001,1294.428818915001,1,1295.6316840010004,1297.646017604,1,1298.6212393280002,,,,,-0.2999999999999998,0.0,1.0,Down,-1,1.0
35,1307.8897075860004,1314.521368955,1,1315.7908514760002,1317.8090429960012,1,1318.9063251120006,1321.923223109001,1323.4000040520004,-1.4767809429995395,5.0,0.3000000000000004,1.0,1.0,Down,-1,0.0
36,1329.6905104220004,1336.2961481750008,1,1339.2256260120012,1341.2443596730009,1,1342.2669186639996,,,,,0.7000000000000005,1.0,1.0,Down,-1,0.0
37,1351.5497849000003,1357.799872077001,1,1358.682871731,1360.6986872630005,1,1361.584647177,,,,,0.5000000000000003,0.0,1.0,Down,-1,0.0
38,1370.8786798519996,1377.4746451700012,1,1379.2010482620008,1381.2189451970007,1,1382.4708853780012,,,,,0.9000000000000007,1.0,1.0,Down,-1,0.0
39,1391.7704163790004,1398.0343600790002,1,1445.3869907080007,1447.411275751001,4,1447.9669677330003,,,,,0.7000000000000005,0.0,1.0,Up,-1,1.0
40,1457.2774990510006,1463.896096855,1,1472.2539450130007,1474.2819476719997,1,1480.8168778060008,,,,,-0.7,1.0,1.0,Down,-1,1.0
41,1490.110427054,1496.7015968510004,1,1526.6101070610002,1528.6338895050012,1,1529.8395882550012,1532.8560421490001,1534.8009947299997,-1.9449525809995976,4.0,-0.2999999999999998,1.0,1.0,Down,-1,1.0
42,1541.08590292,1547.6940698830003,1,1549.454392394,1551.469846201,1,1552.430651734001,,,,,-0.4999999999999999,1.0,1.0,Down,-1,1.0
43,1561.7285739050003,1567.9742983260003,1,1571.1862300000012,1573.2015832180005,1,1574.2974584800013,,,,,-0.2999999999999998,0.0,1.0,Down,-1,1.0
44,1583.5913209720002,1589.8368954360012,1,1590.8313791090004,1592.8488493550012,1,1594.3944375030005,1597.4116415440003,1598.4216231890005,-1.0099816450001526,3.0,-0.4999999999999999,0.0,1.0,Down,-1,1.0
45,1604.6754783690012,1611.0534213210012,1,1631.5291963510008,1633.5533375859995,1,1651.2201807180008,,,,,,0.0,0.0,Down,0,0.0
46,1660.5345586479998,1666.774007973001,1,1668.1914497030011,1670.210135995001,1,1675.3171933800004,1678.347689309001,1680.7859040309995,-2.43821472199852,2.0,0.5000000000000003,0.0,1.0,Down,-1,0.0
47,1687.0857378630008,1693.342540099,1,1694.9673485130006,1696.981293222001,1,1698.2261070530003,1701.2477855020006,1705.5183713959996,-4.270585893998941,3.0,-0.4999999999999999,0.0,1.0,Down,-1,1.0
48,1711.826605579001,1718.4478862619999,4,1719.8506990349997,1721.868357757001,4,1723.2423378460007,,,,,0.7000000000000005,1.0,1.0,Up,0,1.0
49,1732.4883282120009,1738.8518891510012,4,1740.350165639,1742.3678246809995,4,1743.3349632160007,,,,,,0.0,0.0,Up,1,0.0
50,1752.6244613899999,1759.237830862001,4,1761.3273319070013,1763.343588111,4,1764.547153132,1767.562242553,1769.449213715001,-1.8869711620009184,7.0,-0.9,1.0,1.0,Up,0,0.0
51,1775.7355198550013,1782.3282411170003,4,1783.5139057300003,1785.5314810439995,4,1788.37594765,,,,,0.5000000000000003,1.0,1.0,Up,0,1.0
52,1797.6801604579996,1804.2804732090008,1,1808.9285560690005,1810.947644101001,1,1819.326377321,1822.3508303620001,1824.2156398610005,-1.86480949900033,4.0,-0.7,1.0,1.0,Down,-1,1.0
53,1830.4726488430006,1836.8258078649997,1,1837.7791587009997,1839.7963846350012,1,1840.8079676119996,,,,,,1.0,0.0,Down,0,0.0
